"address/city","address/community","address/neighborhood","address/state","address/streetAddress","address/subdivision","address/zipcode","bathrooms","bedrooms","currency","description","homeStatus","latitude","livingArea","longitude","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","photos/50","photos/51","photos/52","photos/53","photos/54","photos/55","photos/56","photos/57","photos/58","photos/59","photos/60","photos/61","photos/62","photos/63","photos/64","photos/65","photos/66","photos/67","photos/68","photos/69","photos/70","photos/71","photos/72","photos/73","photos/74","photos/75","photos/76","photos/77","photos/78","photos/79","photos/80","photos/81","photos/82","photos/83","photos/84","photos/85","photos/86","photos/87","photos/88","photos/89","photos/90","photos/91","photos/92","photos/93","photos/94","photos/95","photos/96","photos/97","price","url","yearBuilt"
"Howell",,,"NJ","12 Beacon Dr",,"07731","3","4","USD","WARM AND INVITING! Beautifully updated home in the Candlewood section of Howell, this 4-bedroom, 2.5-bathroom split-level home has exceptional curb appeal and large fully fenced yard. This home features open living spaces across three distinct levels with room to entertain or relax. The lower level features a welcoming foyer with ample closet space, leading into a comfortable living room with a wood burning fireplace, nearby powder room, and direct entry to the 2-car garage.  The home's main level is hallmarked by a massive living/dining combination room with vaulted ceilings, near a spacious eat-in kitchen with stone flooring and sliding-door access to the backyard.  Completing the interior are 4 bedrooms and 2 updated full bathrooms, including a sizable master suite with ensuite full bath with radiant tile floor.  Begin planning for summer NOW and take full advantage of a true entertainer's backyard, boasting a large rear patio, in-ground pool, and considerable lawn space.  Fresh siding, newer windows, a Timberline roof, and solar panels complete the package.  Take advantage of an excellent school district and convenient location, near commuter access, downtown areas, and ocean beaches of the Jersey Shore!","FOR_SALE","40.147724",,"-74.221695","https://photos.zillowstatic.com/fp/da3c5d9de5f72143c3e3872a95408ac9-p_d.jpg","https://photos.zillowstatic.com/fp/127d3eb2dbb2b6ac444fecaf219f2cc4-p_d.jpg","https://photos.zillowstatic.com/fp/51a72a7d6e3e6a26953ad9c2ab116a7c-p_d.jpg","https://photos.zillowstatic.com/fp/69524189ee084357394b24a0cde5270a-p_d.jpg","https://photos.zillowstatic.com/fp/5d950f4f71916f6a797c1c9b2dc34746-p_d.jpg","https://photos.zillowstatic.com/fp/0b810413b833276fcd095c1f052d51e8-p_d.jpg","https://photos.zillowstatic.com/fp/b13b0f656dba0e6f22e661ae3aaeb7b1-p_d.jpg","https://photos.zillowstatic.com/fp/dc74c0e9956758b3745fd13284ae6abf-p_d.jpg","https://photos.zillowstatic.com/fp/8332e2dfaa82990a406186b673eb00ce-p_d.jpg","https://photos.zillowstatic.com/fp/b14c8b10359166610838e75764944904-p_d.jpg","https://photos.zillowstatic.com/fp/1290576fefcbbfc8b55720e6e014bd65-p_d.jpg","https://photos.zillowstatic.com/fp/fc8c6a7f47c0b0f4660fc9bdca34ca44-p_d.jpg","https://photos.zillowstatic.com/fp/d0084184cd7a6c99238ed9d02949eeb9-p_d.jpg","https://photos.zillowstatic.com/fp/f62faf973aee5e94df1f80c18c278db3-p_d.jpg","https://photos.zillowstatic.com/fp/58275f67307500074d2e1a553695f90f-p_d.jpg","https://photos.zillowstatic.com/fp/39e244dc7031be6d02779b596ffc415c-p_d.jpg","https://photos.zillowstatic.com/fp/48455297bc6d3cd57f4078a07926a641-p_d.jpg","https://photos.zillowstatic.com/fp/757253d3f2d915181ffd64628035fa11-p_d.jpg","https://photos.zillowstatic.com/fp/52688ba3df9e67e1bb63671a94873a36-p_d.jpg","https://photos.zillowstatic.com/fp/1ccedaa51609cf6a06fb39023ffe9fca-p_d.jpg","https://photos.zillowstatic.com/fp/28259654666ee44aab5903321620371c-p_d.jpg","https://photos.zillowstatic.com/fp/b51ff6fe5ce6ac787768c423072e08bd-p_d.jpg","https://photos.zillowstatic.com/fp/8dd4b4f3c7ad733f65dc8a913c211794-p_d.jpg","https://photos.zillowstatic.com/fp/e40d171ebbd9c72caf5aac0c5179c00c-p_d.jpg","https://photos.zillowstatic.com/fp/20e7396bee059a5c25513fe85f45e5c0-p_d.jpg","https://photos.zillowstatic.com/fp/1e4fb99c657b9312ee1b6661061a4c2e-p_d.jpg","https://photos.zillowstatic.com/fp/7884d53c934357dc0593c56944208ebe-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"524900","https://www.zillow.com/homedetails/12-Beacon-Dr-Howell-NJ-07731/39265586_zpid/","1972"
"Hoboken",,,"NJ","222 Grand St APT 1D",,"07030","1","1","USD","Welcome to Grand Court, a unique Hoboken gated community with a serene courtyard and POOL! This spacious pristine home can potentially be converted to a 2 bedroom or additional den as other units have done. This loft style condo features 11 foot ceilings and expansive windows which give the home tons of natural light. The chef’s kitchen design include 42” cabinets, quartz counter tops and backsplash, under mount stainless sink, stainless steel appliances and recessed lights. This open concept space flows from kitchen to an over-sized living room with a quartz tile wrapped wood burning fireplace, perfect for entertaining or cozy winter nights at home. The large spa-style bathroom feature a frameless glass enclosed standing shower, hexagon tile flooring, custom built quartz seat, and a floating double vanity. Gorgeous 7” American Walnut flooring throughout, and multiple areas of additional lofted storage. Located downtown with easy access to NYC via PATH, Bus or Ferry! Professionally managed building, pets allowed, and laundry!","FOR_SALE","40.740757","735","-74.035965","https://photos.zillowstatic.com/fp/804ac100d8a59988fd1ce18751440f83-p_d.jpg","https://photos.zillowstatic.com/fp/a9f09c0c9095dee2e3e7acc5f00d50b0-p_d.jpg","https://photos.zillowstatic.com/fp/b1e0b50f2736b70b6102feb3b183674a-p_d.jpg","https://photos.zillowstatic.com/fp/c685c4f5efefb8d799d08b785076bd8e-p_d.jpg","https://photos.zillowstatic.com/fp/7ff4d2b397cf26e93082f3b41b41f399-p_d.jpg","https://photos.zillowstatic.com/fp/72322bdc436d07c247556521e8eba6da-p_d.jpg","https://photos.zillowstatic.com/fp/d9232d3fd4e492e51bf1e550eaf1ac05-p_d.jpg","https://photos.zillowstatic.com/fp/e9c05ed1a0d28342b2de19a7b5ee5ad3-p_d.jpg","https://photos.zillowstatic.com/fp/c1c91892f28b9035baeb6b3b8e6fe96d-p_d.jpg","https://photos.zillowstatic.com/fp/5d6c12c65e66009659ea9e4760b2686f-p_d.jpg","https://photos.zillowstatic.com/fp/964eb509c5e3fa5cc0da3f40df179147-p_d.jpg","https://photos.zillowstatic.com/fp/c250bf48e900c4c2fc64e9346eec026d-p_d.jpg","https://photos.zillowstatic.com/fp/989cb191befc60c84f7beddc154585b6-p_d.jpg","https://photos.zillowstatic.com/fp/fed8acd68de62ec4bf730f4002e415e2-p_d.jpg","https://photos.zillowstatic.com/fp/ce563d58bc993db7025895d75b039008-p_d.jpg","https://photos.zillowstatic.com/fp/37c033a5bace8da437366b4bae2333a8-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"499000","https://www.zillow.com/homedetails/222-Grand-St-APT-1D-Hoboken-NJ-07030/38883165_zpid/",
"Cranbury",,,"NJ","13 Jefferson Rd",,"08512","3","4","USD","Exquisite 4 bedroom, 2.5 bath, immaculately kept, tastefully updated, colonial home located in the very desirable community of Shadow Oaks in Cranbury. Featuring a wonderful floor plan that is suitable for entertaining, family gatherings, or to enjoy a quiet night at home. This home is loaded with upgrades and beautiful dcor throughout. A wonderful blend of sophistication and comfort, perfect for today's living. Once inside you know you are about to embark on an amazing journey in refined, yet livable luxury. Features: gorgeous hardwood flooring throughout most of the home; a welcoming foyer with upgraded beveled glass front door and transom windows; elegant formal living room and dining room with crown and chair rail moldings; completely remodeled custom kitchen with custom cabinetry, a large center island with stunning custom granite with sink and beautiful pendant lights, granite countertops with ceramic tile backsplash, stainless steel appliances, wall oven, 3 skylights and a delightful breakfast are with built in wine fridge and double sided fireplace (other side is in the family rm); cozy family room with track lighting and  ceiling fan; sizable study; a bright and airy 3 season sunroom addition; a laundry room with top of the line front loading washer and dryer and a remodeled powder room complete the first floor. The upper level is just as impressive and features: the master suite with a his and her WIC and lavish full bath with big stand up shower with floor to ceiling custom tile, built in bench and built in shelves, a skylight, granite top double sink and extra cabinets; 3 additional bedrooms all with ceiling fans and updated full bath. Sit outside and relax or entertain in the park-like backyard surrounded by the mature tree's, sweeping lawns, paver patio and 2 storage sheds. Additional features: full basement, recessed lighting, central vac, whole house is wired for speakers, attic with pull down stairs, newer roof, new water heater, newer Anderson windows, newer heating and ac, 2 car garage and driveway parking and custom window treatments. Extremely private location yet close to shopping, restaurants and schools. This is truly an exceptional home that has been meticulously well maintained, beautifully updated and shows the true pride of ownership.","FOR_SALE","40.292732","3084","-74.53639","https://photos.zillowstatic.com/fp/8d256457725ca96c2dac0dd59e02936f-p_d.jpg","https://photos.zillowstatic.com/fp/f61c9f856fbc56e826158b34addc4f7d-p_d.jpg","https://photos.zillowstatic.com/fp/a493ab50cb6414a746493247b5bfc573-p_d.jpg","https://photos.zillowstatic.com/fp/6e0f2751812e14055bb61b0139da2116-p_d.jpg","https://photos.zillowstatic.com/fp/7bce5b6613de89456ca8f4a3f6deef5e-p_d.jpg","https://photos.zillowstatic.com/fp/fada485aa3a2ef7e6637792124dc5dc1-p_d.jpg","https://photos.zillowstatic.com/fp/b9b7a9a468b6f4984a7c82f174345a4e-p_d.jpg","https://photos.zillowstatic.com/fp/17055e06433afdd0f457e11f5866b82f-p_d.jpg","https://photos.zillowstatic.com/fp/fb071fa49a9ea1490a3081d9d7f22a63-p_d.jpg","https://photos.zillowstatic.com/fp/8bd717c808513904fa6292a263172dca-p_d.jpg","https://photos.zillowstatic.com/fp/cf910c91946ba8a3d547b7619f7e6d95-p_d.jpg","https://photos.zillowstatic.com/fp/477a4f9752deec9c814d027ddea139e5-p_d.jpg","https://photos.zillowstatic.com/fp/253f7a74201171d9c080acf2ed8a96c1-p_d.jpg","https://photos.zillowstatic.com/fp/11416f7ffb89dd4f1890fb8adcf688e1-p_d.jpg","https://photos.zillowstatic.com/fp/7c4e3526ab66bd5eb03bc52f645604c6-p_d.jpg","https://photos.zillowstatic.com/fp/4676785b44f870d88d495d3db5e56122-p_d.jpg","https://photos.zillowstatic.com/fp/3bdac978a969d3e8efc0e201fb0c98fd-p_d.jpg","https://photos.zillowstatic.com/fp/b46af50fe01f5b16ba4312a954d59bb5-p_d.jpg","https://photos.zillowstatic.com/fp/dd632ddb32bdbd7492c7527c67bb628e-p_d.jpg","https://photos.zillowstatic.com/fp/8a34a35a15d9734bc97fe82227ad1a3f-p_d.jpg","https://photos.zillowstatic.com/fp/22c4e9a0880e7d2d7fb2e3b4f590b28a-p_d.jpg","https://photos.zillowstatic.com/fp/7ca3abacaaec46183d2c1a7e44fd76f4-p_d.jpg","https://photos.zillowstatic.com/fp/b81161b158e1836da5f4ee38b685f7f8-p_d.jpg","https://photos.zillowstatic.com/fp/dc9770aed49a8d9237d363b3a3d24c2e-p_d.jpg","https://photos.zillowstatic.com/fp/8245032919aa8f1b9e78850f2ecf52bd-p_d.jpg","https://photos.zillowstatic.com/fp/c89e9cfa4c10a82a5cc93b4737165037-p_d.jpg","https://photos.zillowstatic.com/fp/bf85d4e079ea5a757eac883d6db0669e-p_d.jpg","https://photos.zillowstatic.com/fp/35b8e40e1cf596dcb6297526b3339797-p_d.jpg","https://photos.zillowstatic.com/fp/f15f0b36704edd66edf2e409845c20d6-p_d.jpg","https://photos.zillowstatic.com/fp/cb85c4c72be108a49930c227d3e8eba4-p_d.jpg","https://photos.zillowstatic.com/fp/138fe96a583053195c56a7d47cf94e9c-p_d.jpg","https://photos.zillowstatic.com/fp/35dddcf09accf1e96fe758239a614ad5-p_d.jpg","https://photos.zillowstatic.com/fp/6352344475c746b7064f9ab3cedad96a-p_d.jpg","https://photos.zillowstatic.com/fp/22656674a92f11a9cd9410bcaf605b18-p_d.jpg","https://photos.zillowstatic.com/fp/804b77b2d93704722fd221632bf3b402-p_d.jpg","https://photos.zillowstatic.com/fp/2949df77b3dc677b7264e280597ee013-p_d.jpg","https://photos.zillowstatic.com/fp/2feab9f493603984ea54f10462c467ad-p_d.jpg","https://photos.zillowstatic.com/fp/7edc84a046443c964515faaab6c1f98e-p_d.jpg","https://photos.zillowstatic.com/fp/322e05212c34f991f200f7c25a88f26e-p_d.jpg","https://photos.zillowstatic.com/fp/e64fa50dde2af127d0c60dd964935ea6-p_d.jpg","https://photos.zillowstatic.com/fp/6c527a5899204415cecc93f40334be8e-p_d.jpg","https://photos.zillowstatic.com/fp/011b3ad3b9c07e183c7e81b5acfc5369-p_d.jpg","https://photos.zillowstatic.com/fp/4d28b5148f41c1f36d0d2f6ba4327579-p_d.jpg","https://photos.zillowstatic.com/fp/8eae4a2ab0a674fb69e15a52a79080e6-p_d.jpg","https://photos.zillowstatic.com/fp/9be98e3c6ba54aa24d9da8b9904b84a3-p_d.jpg","https://photos.zillowstatic.com/fp/bd65bfea675a596e428866cec2754c16-p_d.jpg","https://photos.zillowstatic.com/fp/1d1ccd9f5154c83dded50be9a50c908f-p_d.jpg","https://photos.zillowstatic.com/fp/d607dfd0a3e376c704b4970d25b6e3b5-p_d.jpg","https://photos.zillowstatic.com/fp/837742ba27c08d2d9fc5e9cfdbd9c9e8-p_d.jpg","https://photos.zillowstatic.com/fp/dd1e09446cf402ab65dde282ac786ce9-p_d.jpg","https://photos.zillowstatic.com/fp/475d26676bd2692fc02d05e24e374491-p_d.jpg","https://photos.zillowstatic.com/fp/0896ed4e8a3c551d1a1a76c30f8465cb-p_d.jpg","https://photos.zillowstatic.com/fp/0608a95d63ec34ce5a7c88d318e43d14-p_d.jpg","https://photos.zillowstatic.com/fp/f1dee4065342186649c275c10de70ab8-p_d.jpg","https://photos.zillowstatic.com/fp/ce581c4b45e90470cd2c2785062f1a3f-p_d.jpg","https://photos.zillowstatic.com/fp/b7d7e5ea566a4c06037fe1b9522bdaa4-p_d.jpg","https://photos.zillowstatic.com/fp/8ca972f4e52637e3177fef8f78a7b17a-p_d.jpg","https://photos.zillowstatic.com/fp/a88acb8a6ca14ef6911c539072a9b065-p_d.jpg","https://photos.zillowstatic.com/fp/f68bf23dd4bea5b7851be0170020623f-p_d.jpg","https://photos.zillowstatic.com/fp/934110cd46d3304cff2f7c6c2a16ede6-p_d.jpg","https://photos.zillowstatic.com/fp/7be5e2e94551f29a1db57c858c1dd8eb-p_d.jpg","https://photos.zillowstatic.com/fp/ac267f6a8b6012e3164cdb40ee917adc-p_d.jpg","https://photos.zillowstatic.com/fp/de4c335926fa9ae2ad99f8f74486da5f-p_d.jpg","https://photos.zillowstatic.com/fp/b7b546d419564a504127292c7f6f464c-p_d.jpg","https://photos.zillowstatic.com/fp/71229332755f551b142192f8e704ca6c-p_d.jpg","https://photos.zillowstatic.com/fp/1f85776721c50b42f6e125ff1e01f612-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"895000","https://www.zillow.com/homedetails/13-Jefferson-Rd-Cranbury-NJ-08512/39044602_zpid/","1982"
"Woodbridge",,,"NJ","15 Rector Ave",,"07095","4","3","USD",,"FOR_SALE","40.553684","0","-74.27362","https://maps.googleapis.com/maps/api/streetview?location=15+Rector+Ave%2C+Woodbridge%2C+NJ+07095&size=400x300&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=qCbKpIL-NZ_ApJUVOjFtARCzfpA=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"529900","https://www.zillow.com/homedetails/15-Rector-Ave-Woodbridge-NJ-07095/2065524161_zpid/","2022"
"Iselin",,,"NJ","82 W Woodbridge Ave",,"08830","1","3","USD","Charming, Clean, & Spacious Ranch Style Home Featuring 3 Bedrooms, 1 Bath And Basement In The Heart Of Iselin With Tons Of Possibilities! The Sizeable Living Room Features A Bonus Room (Can Be An Office, Playroom, Or A Mud Room!) Waiting For Your Personal Touches! Situated In A Prime Location, Diverse Dining, Shopping, & Metro Park! A Commuters Dream! Priced To Sell! Don't Wait!","FOR_SALE","40.563946","1227","-74.29594","https://photos.zillowstatic.com/fp/6dca3eede07dd3c3f1a91614c2e80085-p_d.jpg","https://photos.zillowstatic.com/fp/fdc4e9a3a1435ab63ac0c374b76c6bbe-p_d.jpg","https://photos.zillowstatic.com/fp/56752243dbddcacce5979b014688c68e-p_d.jpg","https://photos.zillowstatic.com/fp/0e635387a1e9bab5a8470c22c105902c-p_d.jpg","https://photos.zillowstatic.com/fp/c2c169692a049615a67260c6e741dfc3-p_d.jpg","https://photos.zillowstatic.com/fp/3d1766c773a0646b3b87e137e9099129-p_d.jpg","https://photos.zillowstatic.com/fp/8e7491e824fb73d08ae998fdb969e653-p_d.jpg","https://photos.zillowstatic.com/fp/e0eeb4612ecbf95d55b77ffa7fa40659-p_d.jpg","https://photos.zillowstatic.com/fp/ef4025a578ab42a9145e28b07ef3180c-p_d.jpg","https://photos.zillowstatic.com/fp/1696bdf2b755611b2d1d5b05f881d33e-p_d.jpg","https://photos.zillowstatic.com/fp/f8f4b6008ab591ce95e161368cfe0021-p_d.jpg","https://photos.zillowstatic.com/fp/3cef8ccc20e062b6f69079c8772c597d-p_d.jpg","https://photos.zillowstatic.com/fp/ed7bf281c55cdd5c5fcde8223ff44d90-p_d.jpg","https://photos.zillowstatic.com/fp/6a04f2dccd5f6bbd61bdf9a7e3d7743a-p_d.jpg","https://photos.zillowstatic.com/fp/9592646670024612b763c5525c19ad54-p_d.jpg","https://photos.zillowstatic.com/fp/a7e9ca1f9ed7b3dc75b203ba13a97ea8-p_d.jpg","https://photos.zillowstatic.com/fp/e0006162d66b7d7971baed94a4a9ce9c-p_d.jpg","https://photos.zillowstatic.com/fp/f8b7aeb66eabebc81787f219ff854e31-p_d.jpg","https://photos.zillowstatic.com/fp/52c83b3e18ec4733ce5153cee33f81b2-p_d.jpg","https://photos.zillowstatic.com/fp/ead3c941e5e8e452ce956cd9888d3344-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300000","https://www.zillow.com/homedetails/82-W-Woodbridge-Ave-Iselin-NJ-08830/39198345_zpid/","1926"
"Fanwood",,,"NJ","105 Forest Rd",,"07023","3","3","USD","Nestled on park like property featuring intricate landscaped grounds sits this charming stucco colonial tudor home featuring all the space and amenities one could wish for.  The main level boasts a great flow; gorgeous new eat in kitchen with custom cabinetry, island, granite, stainless steel appliances & breakfast area, open to the family room with access to the brick patio overlooking the beautiful grounds. Formal dining room, large living room with wood burning fireplace and a den/office complete this level. The 2nd level has 3 spacious bedrooms, one with attached office space and two new full bathrooms. The basement has all new flooring, new laundry room, rec room with study area and lots of storage. Other recent updates and upgrades include: newer windows, new copper plumbing, new hot water heater heater, newer furnace and updated electric. Hardwood floors under carpets both floors. Most beautiful street in Fanwood, so close to town and train yet so serene .  An absolute must see.","FOR_SALE","40.644665",,"-74.387436","https://maps.googleapis.com/maps/api/streetview?location=105+Forest+Rd%2C+Fanwood%2C+NJ+07023&size=400x300&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=wfuhqswxERKUroaszhCCPe29aQM=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"749000","https://www.zillow.com/homedetails/105-Forest-Rd-Fanwood-NJ-07023/40000392_zpid/","1928"
"Newark",,,"NJ","50 Field Pl #52",,"07112","2","3","USD","Well maintain 3bedroom/2bath, finish basement. Ready for a new owner..Low Taxes !!!!","FOR_SALE","40.708576",,"-74.22716","https://maps.googleapis.com/maps/api/streetview?location=50+Field+Pl%2C+Newark%2C+NJ+07112&size=400x300&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=4mke--KcAdDt1gTyBYYBvFCQW48=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"350000","https://www.zillow.com/homedetails/50-Field-Pl-52-Newark-NJ-07112/38710265_zpid/",
"Summit",,,"NJ","17 Beekman Ter",,"07901","2","3","USD","This charming side hall colonial has all the character, quality and details you would expect in a Summit home. As you walk up to this home you are greeted by a front porch that is perfect for relaxing on a nice day. The first floor has a bright family room that opens up to the dining room and updated kitchen. Upstairs there are three bedrooms and an updated hall bath. The basement is a finished rec room. Outside is a new patio that flows out to a level yard perfect for entertaining and playing.","FOR_SALE","40.714134",,"-74.37847","https://photos.zillowstatic.com/fp/4e3897f0e91007f25a75cfade358df7e-p_d.jpg","https://photos.zillowstatic.com/fp/5feb615ac1abb55730a06f8589412378-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"775000","https://www.zillow.com/homedetails/17-Beekman-Ter-Summit-NJ-07901/40064545_zpid/","1929"
"Newark",,,"NJ","296 Orange St",,"07103","3","6","USD","MIXED PROPERTY TWO APARTMENTS AND STOREFRONT. WALKING DISTANCE TO HOSPITALS, NJIT AND RUTGERS, AND ESSEX COUNTY AND DOWNTOWN AREA.","FOR_SALE","40.749004","0","-74.181595","https://maps.googleapis.com/maps/api/streetview?location=296+Orange+St%2C+Newark%2C+NJ+07103&size=400x300&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=7h3XWReyeF3mj2yhzMX81JwsacA=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"579900","https://www.zillow.com/homedetails/296-Orange-St-Newark-NJ-07103/2070611437_zpid/",
"Freehold",,,"NJ","93 Aspen Ln",,"07728","3","2","USD","This 2 Bed, 2.5 bath town-home in sought after ''Raintree'' is freshly painted and ready for a lucky new owner! First floor offer full ceramic flooring, granite counters in eat-in kitchen and white cabinetry. Two generous bedrooms, each with their own full bath appoint the second floor plus 2nd floor laundry. This lovely gated community offer amenities which include clubhouse, fitness room, swimming, basketball, tennis, 9 hole golf course and walking trail. Exterior maintenance and snow plowing included in HOA. Excellent location, minutes from shopping, Centra State hospital  downtown Freehold and Freehold mall.","FOR_SALE","40.24438",,"-74.31204","https://photos.zillowstatic.com/fp/568bd71fd9a1efee6aec8322668ff734-p_d.jpg","https://photos.zillowstatic.com/fp/3b1f32d774905e470dd21616e64c6644-p_d.jpg","https://photos.zillowstatic.com/fp/191fb55e4321105b8a5809c8b6336859-p_d.jpg","https://photos.zillowstatic.com/fp/b18f61dc9b050807210e8f05b93ee71b-p_d.jpg","https://photos.zillowstatic.com/fp/f21b111c8254da809ebf6ff7a64d18b4-p_d.jpg","https://photos.zillowstatic.com/fp/10079d4a0b1df53b15a89b8c5d4a29ce-p_d.jpg","https://photos.zillowstatic.com/fp/52be4754faabbd600cddde4e5020cc72-p_d.jpg","https://photos.zillowstatic.com/fp/3084335f1dc602787f1bdf7a1b709c0d-p_d.jpg","https://photos.zillowstatic.com/fp/c8a8a033aff239e21629ff737118d817-p_d.jpg","https://photos.zillowstatic.com/fp/c346ebd3507ce7a8e44bc335b6a1535a-p_d.jpg","https://photos.zillowstatic.com/fp/19bb2043f3980e78d5a34ac3bac56cc2-p_d.jpg","https://photos.zillowstatic.com/fp/b3d341d722b40bbc6953e73cb996de4c-p_d.jpg","https://photos.zillowstatic.com/fp/31df73f9dc887cec15be948b262e6f2a-p_d.jpg","https://photos.zillowstatic.com/fp/fd9843769c3413932e512aae73c3147c-p_d.jpg","https://photos.zillowstatic.com/fp/e89127967d2c74df089435612087ec6f-p_d.jpg","https://photos.zillowstatic.com/fp/1ff6fdd9ef76c850b6001190f84608d1-p_d.jpg","https://photos.zillowstatic.com/fp/d7de24377bffc331b415e61913a3df63-p_d.jpg","https://photos.zillowstatic.com/fp/bf7aa59bd1f7fb5b54ed7f5dc0500cf3-p_d.jpg","https://photos.zillowstatic.com/fp/b82416b24e432dcf5044b73850f64f01-p_d.jpg","https://photos.zillowstatic.com/fp/62289ab970239aa5817c36887c8757db-p_d.jpg","https://photos.zillowstatic.com/fp/2a63780a3d8d606481afa60b212ab349-p_d.jpg","https://photos.zillowstatic.com/fp/1930f9b274421465aa1521ced5ad6f6b-p_d.jpg","https://photos.zillowstatic.com/fp/d737236f4bd0ca1145c273897203f5c9-p_d.jpg","https://photos.zillowstatic.com/fp/03774f75e8b8764f51e4a7a53c0a77d1-p_d.jpg","https://photos.zillowstatic.com/fp/bff429cd5714a9dc4ebba22344431988-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"369900","https://www.zillow.com/homedetails/93-Aspen-Ln-Freehold-NJ-07728/83038776_zpid/","1994"
