"address/city","address/community","address/neighborhood","address/state","address/streetAddress","address/subdivision","address/zipcode","bathrooms","bedrooms","currency","description","homeStatus","latitude","livingArea","longitude","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","photos/50","photos/51","photos/52","photos/53","photos/54","photos/55","photos/56","photos/57","photos/58","photos/59","photos/60","photos/61","photos/62","photos/63","photos/64","photos/65","photos/66","photos/67","photos/68","photos/69","photos/70","photos/71","photos/72","photos/73","photos/74","photos/75","photos/76","photos/77","photos/78","photos/79","photos/80","photos/81","photos/82","photos/83","photos/84","photos/85","photos/86","photos/87","photos/88","photos/89","photos/90","photos/91","photos/92","photos/93","photos/94","photos/95","photos/96","photos/97","photos/98","photos/99","photos/100","photos/101","photos/102","photos/103","price","url","yearBuilt"
"Union City",,,"NJ","514 27th St",,"07087",,,"USD","Excellent opportunity to build your dream home! 25x100 cleared lot! Rare opportunity in Hudson County. Located only steps away from the famous Bergenline Avenue and 15 mins to Mid-Town- this is the perfect location for the savvy investor or home buyer alike. Increasingly popular area with close access to local shops, parks, schools, and express NYC transit. Town had previously approved new 3-family construction. Many different opportunities. Buy land- they are not making it anymore!","FOR_SALE","40.769825",,"-74.03168","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=400x300&zoom=17&center=40.76982498168945,-74.03167724609375&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&&signature=_p0IQ6i041PCfwic26crMtwL27k=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"420000","https://www.zillow.com/homedetails/514-27th-St-Union-City-NJ-07087/38942177_zpid/",
"Pleasantville",,,"NJ","148 Woodland Ave",,"08232","1","3","USD","Beautiful 1.5 story home in a family friendly neighborhood! 3 bedrooms in total with two being downstairs and one being upstairs. Lovely remodeled bathroom also on the first floor. New flooring has been placed in the living room and kitchen as well as the bathroom. New granite countertops have also been recently added to the kitchen. It gets even better, full basement waiting to be used to store anything you need to or even finish it if desired. The backyard also comes with a shed for additional storage. Do not miss out on this gem!","FOR_SALE","39.398422",,"-74.52107","https://photos.zillowstatic.com/fp/279bc510a1999ece2ad84475cf04b410-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157000","https://www.zillow.com/homedetails/148-Woodland-Ave-Pleasantville-NJ-08232/37834540_zpid/","1925"
"Millville",,,"NJ","210 S Wade Blvd",,"08332",,,"USD","Site can support a wide range of concepts. Zoning permits up to 65% lot coverage which may yield up to 9,000 SF, subject to all design and municipal approvals.  I-1 (INDUSTRIAL PARK) Zone:  Permitted uses include a wide variety of warehousing, light manufacturing, office, and business services. Site is also located in the Urban Enterprise Zone. Owner will also build to suit.   All approvals would be the responsibility of the buyer as the owner will allow any interested parties to complete their due diligence prior to purchase.   **Listing agent is co-owner of property, both sellers are licensed NJ real estate agents.","FOR_SALE","39.391945",,"-75.01866","https://photos.zillowstatic.com/fp/f00dc75bfeae388f4a873d62dd27deaa-p_d.jpg","https://photos.zillowstatic.com/fp/439791b911b2426d091ca32a4ce9e0b5-p_d.jpg","https://photos.zillowstatic.com/fp/103b0dafc44973d1cb988a064b7295e7-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69900","https://www.zillow.com/homedetails/210-S-Wade-Blvd-Millville-NJ-08332/202900057_zpid/",
"Pittstown",,,"NJ","11 Tara Way",,"08867","4","4","USD","This farm assessed 4 bedroom home is tucked away on one of Franklin?s best streets! The winding drive leads you past paddocks and fields to this versatile home! The open design is perfect for entertaining, but cozy enough for quiet nights by the fire. Enjoy a first floor den/2nd master with full bath, plus 2 story library, great room, & spacious kitchen - all with amazing views of the property. Lovely sitting room, dining room & laundry round out the 1st floor. Upstairs is a spacious master suite + 2 additional BRs & full bath. The in-law suite is a home unto itself including kitchen, dining, living room, den, sunroom & 2 full baths. A separate gravel drive takes you to the separate entrance. The property consists of 5.5+ farmland assessed acres that includes a 6 stall barn with electricity and running water, a riding ring, paddocks, open fields, a coop, a removable dog run and above ground pool. The grounds are absolutely beautiful and will soon be lush with the greenery of spring! Riding trails nearby, fantastic schools & Express bus to NYC. Easy trip into Town of Clinton, all major highways & more!","FOR_SALE","40.60192",,"-74.937096","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=400x300&zoom=17&center=40.60192108154297,-74.93709564208984&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&&signature=wMTH0foqy-qQNLYWklEf-odjsyA=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"825000","https://www.zillow.com/homedetails/11-Tara-Way-Pittstown-NJ-08867/201759827_zpid/","1983"
"Sussex",,,"NJ","27 Hudson Ave",,"07461","2","3","USD","BEAUTIFUL FULLY RENOVATED 3 BEDROOM 2 FULL BATH RANCH WITH STUNNING VIEWS OF LAKE NEEPAULIN!! OPEN FLOOR PLAN WITH HARDWOOD FLOORS AND CROWN MOLDING THROUGHOUT THE MAIN LIVING AREA. KITCHEN FEATURES BRAND NEW CABINETS, GRANITE COUNTERTOPS AND APPLIANCES. HANG OUT AT THE BREAKFAST BAR, DINE IN THE FORMAL DINING ROOM OR HANG OUT IN ONE OF THE TWO LIVING ROOM AREAS. FULL PARTIALLY FINISHED BASEMENT CAN EASILY BE CONVERTED INTO A REC ROOM THAT WALKS OUT TO YOUR OVERSIZED 2 CAR GARAGE. GET READY TO ENJOY FISHING, BOATING, AND MORE THIS SUMMER!","FOR_SALE","41.218426","1504","-74.62465","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=400x300&zoom=17&center=41.21842575073242,-74.62464904785156&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&&signature=CV7tp79hz15QaiwICFbNnliXXYY=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"299900","https://www.zillow.com/homedetails/27-Hudson-Ave-Sussex-NJ-07461/39968879_zpid/","1966"
"Northvale",,,"NJ","3202 Rio Vista Ln",,"07647","1","1","USD","LIVE WELL in the luxury, new construction condos being built by the talented Ray Reduce Construction. Enjoy the 50+ active, full amenity lifestyle at Paris Square where PRICES ARE ALL INCLUSIVE WITH NO HIDDEN UPGRADE FEES & INCLUDE INDOOR ASSIGNED PARKING! Experience the beauty as you enter the luxurious elevator foyer from your indoor parking spot. An ease of living is apparent upon entering your spacious unit & seeing the gorgeous, open design showcasing the stunning MEIK & LR/DR overlooking your private terrace. Relax in the magnificent Owner's Suite with Full Bath & WIC. Energy efficient systems, sound proofing, PROFESSIONALLY DESIGNED kitchen & baths, hard wood flooring, stunning light fixtures, stone counters & full sized W/D in every unit!  Amenities include clubhouse w/ fireplace, kitchen, gym, pool, theater, dog run, putting green & walk path thru 64,170 Sq Ft of landscaped park! Nearby golf, shopping restaurants, hiking & trans! Social Community in a Beautiful Setting!","FOR_SALE","41.004524",,"-73.94331","https://photos.zillowstatic.com/fp/edd809d9afb19bd52a0bdb41de9a1e9e-p_d.jpg","https://photos.zillowstatic.com/fp/eda102bbc2382e4e581764c40c650ede-p_d.jpg","https://photos.zillowstatic.com/fp/683904affa34c3d1bd7357e1e6bd220a-p_d.jpg","https://photos.zillowstatic.com/fp/5790862092ea64f53e978b833c9b7e7b-p_d.jpg","https://photos.zillowstatic.com/fp/000b5a1b8623557a81f5175b47116f81-p_d.jpg","https://photos.zillowstatic.com/fp/3363858c5fd13b6b924de95764d5c183-p_d.jpg","https://photos.zillowstatic.com/fp/5988d53a0674b8d90921e672085f5e0c-p_d.jpg","https://photos.zillowstatic.com/fp/ea7541d678bae70ee3377bff107b044f-p_d.jpg","https://photos.zillowstatic.com/fp/2f79403482046b0383b02b58f2a97375-p_d.jpg","https://photos.zillowstatic.com/fp/d7d41759a2d11dad53e52d71790c89a7-p_d.jpg","https://photos.zillowstatic.com/fp/2b247f7288b2367fcfd683a573f68d9d-p_d.jpg","https://photos.zillowstatic.com/fp/e7659268e05da2c7e86d204f0929edf7-p_d.jpg","https://photos.zillowstatic.com/fp/3ad82671753d8810052934df01bbc2ca-p_d.jpg","https://photos.zillowstatic.com/fp/05f4bc0524d124967250d6f42f8df3e3-p_d.jpg","https://photos.zillowstatic.com/fp/2175e811558b99661170f09bbc03d583-p_d.jpg","https://photos.zillowstatic.com/fp/c6e6b21d56a2f4630ae3af1738f0fcd7-p_d.jpg","https://photos.zillowstatic.com/fp/9c9ffdce1161cba666149d4463713194-p_d.jpg","https://photos.zillowstatic.com/fp/7e743f7a931d61f7eedc59c257d40a0f-p_d.jpg","https://photos.zillowstatic.com/fp/54d36898088b502ba66ebc0859a97446-p_d.jpg","https://photos.zillowstatic.com/fp/cf1630787f43c9cd82af2117f06d9fc8-p_d.jpg","https://photos.zillowstatic.com/fp/e4ed274eaa531658c5510472f8083bc4-p_d.jpg","https://photos.zillowstatic.com/fp/33e5f98e0d6e2ebed32d979e6161051b-p_d.jpg","https://photos.zillowstatic.com/fp/bcc20cc0bb5ee1d4532e9191b97afc2d-p_d.jpg","https://photos.zillowstatic.com/fp/38339f8aa93708e4459dae209c97a69e-p_d.jpg","https://photos.zillowstatic.com/fp/e08b45077fcedec45447b3920c2f74e8-p_d.jpg","https://photos.zillowstatic.com/fp/0022a7f5826b05d9bf099d4d08e50a8f-p_d.jpg","https://photos.zillowstatic.com/fp/1935a10203e6b8d7cfce9852181a04ad-p_d.jpg","https://photos.zillowstatic.com/fp/c4ff05d0a9d26b2341626e360913a209-p_d.jpg","https://photos.zillowstatic.com/fp/777b7c0469ff43fc25d8d5bc1de82d97-p_d.jpg","https://photos.zillowstatic.com/fp/685ff187a386da6d6e5392ef26dd1826-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"425000","https://www.zillow.com/homedetails/3202-Rio-Vista-Ln-Northvale-NJ-07647/2065514764_zpid/",
"Highlands",,,"NJ","57 Shrewsbury Ave",,"07732","3","3","USD","COMING SOON-cannot be shown until 3/25.  THIS is IT!  That MAGNIFICENT home you have been searching for in the location you have DREAMED of!  Like no other...ocean views of the NYC skyline , just steps to beaches, marina, restaurants and close by NYC FERRY.  3 spectacular living levels, equipped with an ELEVATOR offering EXPANSIVE sun filled LIVING SPACES and views from every level.  Professionally  decorated, stylish finishes grace the home throughout. No detail is missed as this home exudes STYLE with an open custom kitchen, over sized quartz island and living area that gracefully leads to an expansive deck. A Private 3rd floor master suite and private deck is like no other! Unpack and move right in. It is time to live the dream!","FOR_SALE","40.402355","2400","-73.98425","https://photos.zillowstatic.com/fp/23c663e98ed0c2d2fd4cf8a2dafb0359-p_d.jpg","https://photos.zillowstatic.com/fp/460e8ae64b3f1bdbe85152982c19b137-p_d.jpg","https://photos.zillowstatic.com/fp/877e7584643dc2875b53bb50597d82f0-p_d.jpg","https://photos.zillowstatic.com/fp/a863c014223868e05a57f20b04230301-p_d.jpg","https://photos.zillowstatic.com/fp/5dfcd873f670de625edf381e0f295a05-p_d.jpg","https://photos.zillowstatic.com/fp/546333d61c9d5654fa4916da7d6f8762-p_d.jpg","https://photos.zillowstatic.com/fp/a4b3e1bb7ef99ca7c918df40a7f36098-p_d.jpg","https://photos.zillowstatic.com/fp/48e18a3980655271b423a5ac9118eafd-p_d.jpg","https://photos.zillowstatic.com/fp/39e6ee2ae6c92317dcd290478baf0107-p_d.jpg","https://photos.zillowstatic.com/fp/1efcda45d1bef86c8fae1d18d9598c70-p_d.jpg","https://photos.zillowstatic.com/fp/71806de52e72847049c08b114cc194e4-p_d.jpg","https://photos.zillowstatic.com/fp/1fbac02502bda2a08910a3a33a1d86e2-p_d.jpg","https://photos.zillowstatic.com/fp/53374658ee8a81bf33df60f20a2cddfa-p_d.jpg","https://photos.zillowstatic.com/fp/59975ef6a99b7c7c6230f84aeff23176-p_d.jpg","https://photos.zillowstatic.com/fp/e1eca258d410b7053bdfa378f121e347-p_d.jpg","https://photos.zillowstatic.com/fp/491fbc0969169192637423af70adec24-p_d.jpg","https://photos.zillowstatic.com/fp/918a7a7079e9663475b6c47b7556ced3-p_d.jpg","https://photos.zillowstatic.com/fp/058f35949d1caffcf843991c2ce332b7-p_d.jpg","https://photos.zillowstatic.com/fp/a709f35ea694488aec1875d705085d41-p_d.jpg","https://photos.zillowstatic.com/fp/a8fb9cf93d00631bc0dca649311b6188-p_d.jpg","https://photos.zillowstatic.com/fp/9079224bd985065ed315670349c86ee1-p_d.jpg","https://photos.zillowstatic.com/fp/f9108aa18f64ecc10e520e367242971f-p_d.jpg","https://photos.zillowstatic.com/fp/93610e54d676bcc1ba63c851ca50be18-p_d.jpg","https://photos.zillowstatic.com/fp/01ed5b5461d54f18409f377f80e01a80-p_d.jpg","https://photos.zillowstatic.com/fp/9ba4776d727451b9bd829192e6bb67ce-p_d.jpg","https://photos.zillowstatic.com/fp/e8b6f69f28e1baf419df0145e9d6509a-p_d.jpg","https://photos.zillowstatic.com/fp/f6119aae12c745f5bd1da688ea4eb4e0-p_d.jpg","https://photos.zillowstatic.com/fp/3476f7c9c5fff7c6cbf45ef5918889e5-p_d.jpg","https://photos.zillowstatic.com/fp/fd2950bc2a5af8662362945b6a2b2d0d-p_d.jpg","https://photos.zillowstatic.com/fp/ded882618d348102f7d23cbc2e3d2d9b-p_d.jpg","https://photos.zillowstatic.com/fp/8a0deb409e2f9cc6aab029a99a73d24f-p_d.jpg","https://photos.zillowstatic.com/fp/99bdcfded5682f8efb0d39666b1ac735-p_d.jpg","https://photos.zillowstatic.com/fp/c56bfcd4b2cd4ab0fc92f118600c4d13-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1049000","https://www.zillow.com/homedetails/57-Shrewsbury-Ave-Highlands-NJ-07732/39256472_zpid/","2018"
"Weehawken",,,"NJ","518-530 Gregory Ave #B306",,"07086","1","1","USD","Modern Mix-Luxury, Location & Affordability come together in this Tastefully Renovated-1 Bed+Den/Home office, 1 Bath Condo w/coveted 1 car garage parking. Ideally located in vibrant Weehawken on scenic Gregory Ave. at sought after Gregory Commons gated condo complex. An inviting open-concept floor-plan with sunny Southern exposure welcomes you home. There is an eye pleasing, curved wall at the entrance foyer that adds to the character & charm. This terrific layout offers flexibility to live comfortably & relax while working from home with a dedicated home office/Den accessed via new glass framed barn doors. The Open kitchen features abundant walnut cabinetry, newer SS appliances, granite counters & island making it a pleasure to cook & dine at home. The Master Bedroom offer custom wardrobe system, walk-in-closet, en suite Modern tiled full Bath. All the windows face South affording warm glowing sun. Notable features: stackable W/D; Hardwood flooring thru-out; Newer Central HVAC+Smart Ecobee Thermostat; Newer Windows; 1 heated garage parking space. HOA includes: Water; Pking; Amenities. Discover Gregory Commons gated condo complex, a serene bluff top location in vibrant Weehawken. Amenities: 24hr. concierge; Fitness; Indoor Pool; Sauna; Lounge; Gardened Courtyard; maintenance on-site, Pets welcome! A stellar location that offers a 2 Mile Dream Commute to NYC. Surrounded by every convenience, a short stroll to boutique shopping, Restaurants, Eateries, Whole Foods, Lidl Market, New Waterfront Park, Light Rail; NY Waterway. Best Value-terrific 1st time Buyer Option in Lieu of Renting. Don't Miss Out!","FOR_SALE","40.76441","875","-74.02699","https://photos.zillowstatic.com/fp/836d56b5e615eebb0cacd036c124c044-p_d.jpg","https://photos.zillowstatic.com/fp/e7af2882d767b34a56acbcf458720d04-p_d.jpg","https://photos.zillowstatic.com/fp/a4411a469ad7364e063d307258385de2-p_d.jpg","https://photos.zillowstatic.com/fp/1a8296af7b9bdc50db54602c4ef8a81d-p_d.jpg","https://photos.zillowstatic.com/fp/d1d26458e21144d381d880cbd68f4054-p_d.jpg","https://photos.zillowstatic.com/fp/ebb26b96a852b4118c3cce038170bd27-p_d.jpg","https://photos.zillowstatic.com/fp/08c3fc0ae7c63d783996333127704c0a-p_d.jpg","https://photos.zillowstatic.com/fp/d070afd59890089fa7774ba09f060a22-p_d.jpg","https://photos.zillowstatic.com/fp/a49c18a0a3a31ef650d199f4ec5afa6f-p_d.jpg","https://photos.zillowstatic.com/fp/8b28d439c3a9f57d1e300e21babc42fb-p_d.jpg","https://photos.zillowstatic.com/fp/b4d3575b9f53b79bb4525924957c6f4c-p_d.jpg","https://photos.zillowstatic.com/fp/0269d09cf296ac60f7d04f58b6659c0a-p_d.jpg","https://photos.zillowstatic.com/fp/62b172dd31fb35ddc76c6390b7f91fff-p_d.jpg","https://photos.zillowstatic.com/fp/8423a469748caad30a79e7afc2182d40-p_d.jpg","https://photos.zillowstatic.com/fp/a367598b39047cc513e83d56a3208220-p_d.jpg","https://photos.zillowstatic.com/fp/b5fa9f7cb5c8cbfcb6beef3537d2bee0-p_d.jpg","https://photos.zillowstatic.com/fp/8eec0524c3649a6d4418857f18e4649b-p_d.jpg","https://photos.zillowstatic.com/fp/3082656fe3354738a381486d711df37c-p_d.jpg","https://photos.zillowstatic.com/fp/317964cc090bbd8fb779bdace002b048-p_d.jpg","https://photos.zillowstatic.com/fp/f80684a6a4a8d5bcdb0f915951af48d8-p_d.jpg","https://photos.zillowstatic.com/fp/8519aafd084b98a04907852cfef79ca9-p_d.jpg","https://photos.zillowstatic.com/fp/f859500bafad7f5a86127c2f7edf5454-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"424998","https://www.zillow.com/homedetails/518-530-Gregory-Ave-B306-Weehawken-NJ-07086/2075205151_zpid/",
"Newark",,,"NJ","207 Badger Ave",,"07108","6","9","USD",,"FOR_SALE","40.719685","0","-74.19703","https://photos.zillowstatic.com/fp/82941a6960cf2a50775c60cc11dbaeef-p_d.jpg","https://photos.zillowstatic.com/fp/de35adb585c3b5ba2f9eeb16ef657f2b-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"650000","https://www.zillow.com/homedetails/207-Badger-Ave-Newark-NJ-07108/2068004804_zpid/","2006"
"Jamesburg",,,"NJ","38 Sherman St",,"08831","2","5","USD","Welcome to this spacious 5 bedrooms 2 full bathrooms in Jamesburg. Featuring a large kitchen, large backyard.  Perfect opportunity for a home buyer that is looking for a home with minor updates or an investor.","FOR_SALE","40.35757","1512","-74.4346","https://photos.zillowstatic.com/fp/0ec27d84b262fb50c0e99d5c7ef89992-p_d.jpg","https://photos.zillowstatic.com/fp/f88ae37beb675d4a5bd746f6d3d75588-p_d.jpg","https://photos.zillowstatic.com/fp/2c1916382ed7a382eafc0d174c814341-p_d.jpg","https://photos.zillowstatic.com/fp/3fc796dcb089b68cefe48cde30d58b63-p_d.jpg","https://photos.zillowstatic.com/fp/1681c1bdd639ac8c53e24444fd953870-p_d.jpg","https://photos.zillowstatic.com/fp/2c362f67e325035359a48cf125fbc34e-p_d.jpg","https://photos.zillowstatic.com/fp/b49189aaf586b2c1b6d60a8000c4e969-p_d.jpg","https://photos.zillowstatic.com/fp/8d2eabe399266eae9b0c765b6150dcfd-p_d.jpg","https://photos.zillowstatic.com/fp/40a58e15908a90b4a153d26370ef1938-p_d.jpg","https://photos.zillowstatic.com/fp/37b375e5273d01045c48a5e9fcfedfa1-p_d.jpg","https://photos.zillowstatic.com/fp/c61cdb0f907a3fdfb1a955b787321838-p_d.jpg","https://photos.zillowstatic.com/fp/fc74b012d3b38cad9892bf0d4e0680d5-p_d.jpg","https://photos.zillowstatic.com/fp/c6d869d1f9e3bb21366adebced1b2255-p_d.jpg","https://photos.zillowstatic.com/fp/356124be63a30ed6c0882daf2d1c97e6-p_d.jpg","https://photos.zillowstatic.com/fp/dd4442963fabad6cc1300a53a56179cd-p_d.jpg","https://photos.zillowstatic.com/fp/a4348cf579a89b9624fda949de0cc870-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"340000","https://www.zillow.com/homedetails/38-Sherman-St-Jamesburg-NJ-08831/55546184_zpid/","1920"
