"address/city","address/community","address/neighborhood","address/state","address/streetAddress","address/subdivision","address/zipcode","bathrooms","bedrooms","currency","description","homeStatus","latitude","livingArea","longitude","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","photos/50","photos/51","photos/52","photos/53","photos/54","photos/55","photos/56","photos/57","photos/58","photos/59","photos/60","photos/61","photos/62","photos/63","photos/64","photos/65","photos/66","photos/67","photos/68","photos/69","photos/70","photos/71","photos/72","photos/73","photos/74","photos/75","photos/76","photos/77","photos/78","photos/79","photos/80","photos/81","photos/82","photos/83","photos/84","photos/85","photos/86","photos/87","photos/88","photos/89","photos/90","photos/91","photos/92","photos/93","photos/94","photos/95","photos/96","photos/97","photos/98","photos/99","price","url","yearBuilt"
"Purdys",,,"NY","14 Buenta Way",,"10578","2","4","USD","Welcome to 14 Buenta Way.  Very charming 4 BR Cape in Purdys, Somers. Walk to Purdys' Train & 3 minute walk to Beach/Lake. Close to schools, town, shops, Decicco grocery & Highways. Beautiful HW Floors, High Ceiling & Bright Family Rm, Temo Sunroom, Living Room and 2 Bedrooms on 1st level and 2 Bedrooms on 2nd level.  Roof and siding replaced.  Private level backyard with beautiful trees and plantings.  Observe nature and its beauty here. Great getaway from the city life. Membership to Lake association and clubhouse optional.","FOR_SALE","41.323917","1700","-73.66684","https://photos.zillowstatic.com/fp/487e417363f3f566d818d90a538a4561-p_d.jpg","https://photos.zillowstatic.com/fp/11f8fb958dde4fed8d9b1b74f7b546cb-p_d.jpg","https://photos.zillowstatic.com/fp/2cfbd632031fd35661d0c2557c192d96-p_d.jpg","https://photos.zillowstatic.com/fp/49c180e4c5564b9237eda54a6f3521c4-p_d.jpg","https://photos.zillowstatic.com/fp/ed7e9f66858af57a0238d79d9da89c7f-p_d.jpg","https://photos.zillowstatic.com/fp/425b2ca3a078881b7cff6aab160d86b4-p_d.jpg","https://photos.zillowstatic.com/fp/08e5d7957e9398b19ac3fa93500fde1f-p_d.jpg","https://photos.zillowstatic.com/fp/b8d5729576eded08d04b5834951a9197-p_d.jpg","https://photos.zillowstatic.com/fp/14ea1b1ce0102f23655e4212a0bdddfc-p_d.jpg","https://photos.zillowstatic.com/fp/1ca0f73ab28c0e60e2fcbc2923811a2b-p_d.jpg","https://photos.zillowstatic.com/fp/34eb712594e17ad9cc1850f1c5375057-p_d.jpg","https://photos.zillowstatic.com/fp/285b8d3f145b2ffd383be1640406a4d1-p_d.jpg","https://photos.zillowstatic.com/fp/92a4f088c6cf8ab20b2ecedc6b9eafdb-p_d.jpg","https://photos.zillowstatic.com/fp/8e676d5826415fc667c18f03b158ff94-p_d.jpg","https://photos.zillowstatic.com/fp/f797d442ba304eba4e9fa12e4077c71a-p_d.jpg","https://photos.zillowstatic.com/fp/1a89b7b0bd1f285b99181e112a386497-p_d.jpg","https://photos.zillowstatic.com/fp/af7a71274c92ed836e85792d293c811a-p_d.jpg","https://photos.zillowstatic.com/fp/d9d383654c03cc6351bd30bec6c21294-p_d.jpg","https://photos.zillowstatic.com/fp/26bb7b40de1975237d11bcbd9b33badc-p_d.jpg","https://photos.zillowstatic.com/fp/dbd785ecb246e2d5029eba4ff22facc6-p_d.jpg","https://photos.zillowstatic.com/fp/bb0e0485594ce7b374555963fa8412b3-p_d.jpg","https://photos.zillowstatic.com/fp/4a0859026043494464a117a18f81d103-p_d.jpg","https://photos.zillowstatic.com/fp/3d6c851dc68fa0a11cb521677a0562a7-p_d.jpg","https://photos.zillowstatic.com/fp/46f3c927d4399b2e56b46bf07ade9ee2-p_d.jpg","https://photos.zillowstatic.com/fp/ecbe73358adc71bb6b5c1ce100e3122b-p_d.jpg","https://photos.zillowstatic.com/fp/61f17333f8904d100b3bf62798b2635b-p_d.jpg","https://photos.zillowstatic.com/fp/3498dc1fa4503a5fd79e0e275e7d041c-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599900","https://www.zillow.com/homedetails/14-Buenta-Way-Purdys-NY-10578/33102885_zpid/","1962"
"New Rochelle",,,"NY","235 Sussex Rd",,"10804","3","4","USD","Resort living, so close to NYC. Looking for an amazing home with a fabulous pool? This Contemporary Ranch has it all!  The large living room has skylights and French doors to the modern kitchen and enormous breakfast area with soaring ceilings leading to the deck.  The large primary bedroom has an ensuite bath and walk-in closets. There is an additional bedroom and a hall bath. The lower level is comprised of a bedroom, exercise room, office, large family room with fireplace and sliding doors overlooking the gorgeous in ground pool. Laundry room, utilities room and 2 car garage. Hardwood floors and central air.","FOR_SALE","40.9465","2900","-73.779434","https://photos.zillowstatic.com/fp/b4dd3b2023c5a019770fa14c0c2af426-p_d.jpg","https://photos.zillowstatic.com/fp/cbdabf495fb5272fa6f0c07b46feddd7-p_d.jpg","https://photos.zillowstatic.com/fp/f9781d76c25114674d20a00c2e60e771-p_d.jpg","https://photos.zillowstatic.com/fp/1edb1e2904086d4db8865f2b5ab52e3d-p_d.jpg","https://photos.zillowstatic.com/fp/9d49d50198369a7696a8322cd92d3c7a-p_d.jpg","https://photos.zillowstatic.com/fp/73839f1cd488e5c2e4ceb5707e883cf9-p_d.jpg","https://photos.zillowstatic.com/fp/ace3096986d1df5552076434a5d2195b-p_d.jpg","https://photos.zillowstatic.com/fp/7c7ebd5e4956a4f078edd653019fdd58-p_d.jpg","https://photos.zillowstatic.com/fp/8a2fa975ee6d709df60a826d9432bc8b-p_d.jpg","https://photos.zillowstatic.com/fp/d7ce37d0f83b351c6a1466fce50e16de-p_d.jpg","https://photos.zillowstatic.com/fp/e6034f2ce15fd5d2443b052db7e50d9d-p_d.jpg","https://photos.zillowstatic.com/fp/6d53969ebec1a5b77a86458fd4778f78-p_d.jpg","https://photos.zillowstatic.com/fp/9702fa8784b25a1187ed2e5299bead1c-p_d.jpg","https://photos.zillowstatic.com/fp/05baec984cf515841d28b5ef65343f29-p_d.jpg","https://photos.zillowstatic.com/fp/5747535bb292869daf0c0bb74b3bd480-p_d.jpg","https://photos.zillowstatic.com/fp/b0aeaccf10d757181ae381c16d0ae956-p_d.jpg","https://photos.zillowstatic.com/fp/f6785778151e9de4a496ca2baec19753-p_d.jpg","https://photos.zillowstatic.com/fp/369693b95bfa2563103d091453baa490-p_d.jpg","https://photos.zillowstatic.com/fp/a8ce39f83a40b4aa394222876b22923c-p_d.jpg","https://photos.zillowstatic.com/fp/7c6d23cce3d0bf0fbecd97630e566db0-p_d.jpg","https://photos.zillowstatic.com/fp/70e762221b0817c5c4de85e28c24506f-p_d.jpg","https://photos.zillowstatic.com/fp/7e42a57a3fc7140869df5686721489a8-p_d.jpg","https://photos.zillowstatic.com/fp/f8c72df8a8452ec8a48e12663dfba0e6-p_d.jpg","https://photos.zillowstatic.com/fp/638baa391c393e976d0bb4f0fcd2c993-p_d.jpg","https://photos.zillowstatic.com/fp/b475ce7074b4cfad725b1a58cc93d059-p_d.jpg","https://photos.zillowstatic.com/fp/33c6c9c9c57ab6f52263a010fba91c9b-p_d.jpg","https://photos.zillowstatic.com/fp/00699cdb1168e71ee88f6d2ff3ad63f5-p_d.jpg","https://photos.zillowstatic.com/fp/f949019bcc7854f6296b26616ad90005-p_d.jpg","https://photos.zillowstatic.com/fp/5682173e4c6279162f179cc5b0a1f70b-p_d.jpg","https://photos.zillowstatic.com/fp/04c5c43d681cb9fc43dac978b0dbbaee-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"995000","https://www.zillow.com/homedetails/235-Sussex-Rd-New-Rochelle-NY-10804/32963957_zpid/","1984"
"Newburgh",,,"NY","10 Forsythe Pl",,"12550","3","3","USD","Coming soon. Available April first. You will fall in love with this all new, fantastic three bedroom with two full and one half bath with Hudson River Views.","FOR_SALE","41.512188","1802","-74.008156","https://photos.zillowstatic.com/fp/0c58bd6be3afb792ea62188619c101a7-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450000","https://www.zillow.com/homedetails/10-Forsythe-Pl-Newburgh-NY-12550/163536184_zpid/","1940"
"New City",,,"NY","7 Ardsley Dr",,"10956","3","4","USD","One level living in one of New City's nicest neighborhoods!  Rare opportunity to own this ranch home situated on a beautiful corner property on over a half an acre.  Only one step to enter this inviting home, welcoming you to a light and bright living room which opens to the formal dining room, ready for festive meals or quiet dinners.  The updated kitchen offers fine wood cabinets and Corian counters, with the laundry just steps away.  The double-sided fireplace which opens to the family room as well as the living room, along with rich wood cabinetry and sliders out to the deck make this a perfect room for all seasons.  Three spacious bedrooms as well as the primary bedroom offer room for everyone.  This immaculate home is waiting for new owners to call it their own... will it be you?","FOR_SALE","41.17733","1989","-74.00243","https://maps.googleapis.com/maps/api/streetview?location=7+Ardsley+Dr%2C+New+City%2C+NY+10956&size=400x300&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=oysz4HI8LhNRFe_EaEO5O08MXh8=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"639900","https://www.zillow.com/homedetails/7-Ardsley-Dr-New-City-NY-10956/53392240_zpid/","1966"
"Eastchester",,,"NY","7 Apple Ct",,"10709","3","4","USD","NEWER CONSTRUCTION, which is so hard to find in our area! Do not miss out on 7 Apple Court, A brick front colonial built in 1999 and fully renovated in 2014. Enter into a grand foyer with high ceilings.  To the left is a spacious formal dining room, to the right a formal living room. This leads to the open designer kitchen with white custom cabinets, stainless steel appliances and a center island. While you cook, friends and family can enjoy the large family room with gas fireplace.  Sliding glass doors lead to the trex deck and low maintenance backyard. Upstairs you have the primary bedroom with two closets and en suite bathroom.  Three other sizable bedrooms and hall bathroom complete the second floor. All closets are organized with custom shelving. The basement is fully finished with an additional 900 sf of finished space.This home is set back in the cul du sac where children play basketball and ride their bikes safely out front.Walkable to schools, shops and Crestwood Station.","FOR_SALE","40.96142","2471","-73.81199","https://photos.zillowstatic.com/fp/809cbd41abbf6ec09fbb9807dc05aed4-p_d.jpg","https://photos.zillowstatic.com/fp/678af5f6817d9106c3b8582e17e269bf-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1300000","https://www.zillow.com/homedetails/7-Apple-Ct-Eastchester-NY-10709/58419583_zpid/","1999"
"Bayport",,,"NY","10 Cinque Ln",,"11705","2","5","USD","Entertainment Paradise what this Hi Ranch has to offer! Located on a quiet street in the Bayport/Blue Point School District, Privately nestled borders Camp Eddy, fully fenced yard, Inground pool 18x36x20, Tiki bar, Outdoor Kitchen, Gazebo, Outdoor shower, Spacious 5 Bedrooms, 2 Full bath, Dining room, Family room, 3 season room, cathedral Ceiling, Skylights, Stainless steel appliances, 200 Amps electric, newer efficient furnace. This home is perfect for extended family, come check it out and make it yours!!!!","FOR_SALE","40.75789",,"-73.05688","https://photos.zillowstatic.com/fp/4b367ec2008302e45b0bf8419e3711d0-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599000","https://www.zillow.com/homedetails/10-Cinque-Ln-Bayport-NY-11705/59636086_zpid/","1965"
"Wading River",,,"NY","95 Cedar Rd",,"11792","3","3","USD","Beautiful 4 bedroom 2.5 bath home in Private beach community just 1 block to beach! Spacious open plan with newer appliances and updated bath. New heating system.","FOR_SALE","40.965828",,"-72.81268","https://maps.googleapis.com/maps/api/streetview?location=95+Cedar+Rd%2C+Wading+River%2C+NY+11792&size=400x300&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=LM6enNPy60EUuOXCwkxTgqAFKQI=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"589000","https://www.zillow.com/homedetails/95-Cedar-Rd-Wading-River-NY-11792/32670622_zpid/","1954"
"Jamaica",,,"NY","187-20 Wexford Ter",,"11432","2","3","USD","On a tree-lined one-way street in Jamaica Estates yet close to shopping and transportation on Hillside Avenue. Charming 3 BR Colonial features 7 rooms plus stairs to a finished room on the 3rd floor which only needs a plumbers helper to bring heat. LR includes a decorative fireplace with possible street gas connection, formal DR, full kitchen, and bath. The 2 1/2 story Home also includes an entry enclosed porch/den, and a full unfinished basement with 1/4 bath with a walk out entrance to a fenced rear yard with patio.","FOR_SALE","40.715427",,"-73.77507","https://photos.zillowstatic.com/fp/a15ff6d6230c9acc39ddeafa3eb977bb-p_d.jpg","https://photos.zillowstatic.com/fp/2b4d83eb5ee2b48628e1ebc712b92a32-p_d.jpg","https://photos.zillowstatic.com/fp/488a64390d45437f459cd019724b1413-p_d.jpg","https://photos.zillowstatic.com/fp/31f2e179518d8738ea4dc80e2cf247dc-p_d.jpg","https://photos.zillowstatic.com/fp/b59145f331a3f8c6356c232043539c76-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"825000","https://www.zillow.com/homedetails/187-20-Wexford-Ter-Jamaica-NY-11432/32136010_zpid/","1925"
"Washingtonville",,,"NY","87 Horton Rd",,"10992","3","4","USD","Impeccably Maintained & Completely Updated Colonial on 2 acres in Washingtonville School District! This 4 bedroom 2.5 bath on park like grounds just feels like home. Hickory hardwood floors (no carpet), Windows 1 year old (with fold in feature for easy cleaning), Updgraded electrical, 5 yr old roof with 50 year warranty, New Custom Kitchen and Baths with high end fixtures and textiles. Upon entering the formal living room with gas fireplace (with blower) and gorgeous Walnut mantle and Granite surround, spacious formal dining room is an entertainers delight, the custom light and bright Gourmet kitchen with slow close cabinets, ""Wolf"" gas range for the chef's in the house, sliding pantry door, island and dining area. The family room off kitchen overlooks the massive backyard. Side door entry on driveway side offers a half bath, full closet with built in closet organizer and mud room. The 2nd floor with 4 large bedrooms and closets galore. The master bedroom with fully renovated master bath (glass shower, custom tile and marble), walk in closet with custom closet system. Additional 3 bedrooms and also fully renovated hall bath complete the 2nd level. There are 2 out buildings both with electric. Electric for above ground pool and underground dog fence still on property. Perfect commuter location, near train station, interstates, airport and 1hr to NYC.","FOR_SALE","41.411705","2464","-74.17458","https://photos.zillowstatic.com/fp/056b15f702742bc373cbcf36a2922fc5-p_d.jpg","https://photos.zillowstatic.com/fp/a047696ec4d98da8ffab0f490872453a-p_d.jpg","https://photos.zillowstatic.com/fp/6989440fa850e78145dfd875032e2657-p_d.jpg","https://photos.zillowstatic.com/fp/78c7c3617e446ae485d2e0722e0aa6cc-p_d.jpg","https://photos.zillowstatic.com/fp/8ba6d0df82b66730b5226d90f05cc4ec-p_d.jpg","https://photos.zillowstatic.com/fp/f3417076fb43d238e1e973873d7d38e3-p_d.jpg","https://photos.zillowstatic.com/fp/f5332a6c1d905d24e609cda4e4380bc7-p_d.jpg","https://photos.zillowstatic.com/fp/54b8fb6da2d033befa51f64625bd3346-p_d.jpg","https://photos.zillowstatic.com/fp/130b8c5de52be85672fb463563fe00d9-p_d.jpg","https://photos.zillowstatic.com/fp/ab883d6566d929d91573028ddcbdbd08-p_d.jpg","https://photos.zillowstatic.com/fp/6a84b625def3a0ba874619ea4be61748-p_d.jpg","https://photos.zillowstatic.com/fp/5b49c4df1ea21212c00bea0f2c0d7055-p_d.jpg","https://photos.zillowstatic.com/fp/433dc594c9d66b3bfd57a0b691de91ff-p_d.jpg","https://photos.zillowstatic.com/fp/9eb6c4b8c8b4bcca6825a71ac960db21-p_d.jpg","https://photos.zillowstatic.com/fp/eb91b1e951ab9db1359822fcf86d233a-p_d.jpg","https://photos.zillowstatic.com/fp/cdd66d926bd7d6b0ae123d17ea9c11e2-p_d.jpg","https://photos.zillowstatic.com/fp/08be62ebd718a0ea67191be7a003cdac-p_d.jpg","https://photos.zillowstatic.com/fp/b12a2438cf1ba299ec65de465bdb1e66-p_d.jpg","https://photos.zillowstatic.com/fp/f2f91fb76680ffd294a9c44572313ef7-p_d.jpg","https://photos.zillowstatic.com/fp/a154b286e4a823242f0d63b9d85d83a4-p_d.jpg","https://photos.zillowstatic.com/fp/79318c7fb5cc62fd574091e58578c7ec-p_d.jpg","https://photos.zillowstatic.com/fp/7195b8d92ed9cf1d41701545a554e3b2-p_d.jpg","https://photos.zillowstatic.com/fp/5b60ac58363bbccd3921cdff4e16b85b-p_d.jpg","https://photos.zillowstatic.com/fp/8aec0b3c298851314486dea5ca60de09-p_d.jpg","https://photos.zillowstatic.com/fp/52152c37d6a25dca92f18c9a324c1443-p_d.jpg","https://photos.zillowstatic.com/fp/f2c802309892d5e249db535d49ddd535-p_d.jpg","https://photos.zillowstatic.com/fp/ed1cd9a6cdd6523a8378e6fe75a3b920-p_d.jpg","https://photos.zillowstatic.com/fp/3b132c2513d272d255ae45bb16f61aa0-p_d.jpg","https://photos.zillowstatic.com/fp/f91553cdef5aa5cfff6077da24d31db3-p_d.jpg","https://photos.zillowstatic.com/fp/df1bb9c10a12e1e67ff3d2265bc48476-p_d.jpg","https://photos.zillowstatic.com/fp/64f3e8498856477cd4c6b13f7d620b24-p_d.jpg","https://photos.zillowstatic.com/fp/c35efdbbd7f4664b7d29b53dfa9d148b-p_d.jpg","https://photos.zillowstatic.com/fp/d593a8e5abc6ed76e724f62fc28972db-p_d.jpg","https://photos.zillowstatic.com/fp/e4af3fb635c004c3001c9d9828e23c31-p_d.jpg","https://photos.zillowstatic.com/fp/16f3c26adc846287e2284a218cd04fcd-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"550000","https://www.zillow.com/homedetails/87-Horton-Rd-Washingtonville-NY-10992/31800754_zpid/","1993"
"Huntington",,,"NY","104 Greenlawn Rd",,"11743","2","4","USD","Harborfields...Stone Front 1940's Cape With 2 Car Garage. Primary Bedroom On Main Floor. Beautifully Maintained Home - 4 Bedroom, 2 Baths, Formal Living Room With Fireplace, Dining Room, Bright Sunroom Adjacent To Kitchen With Two Skylights, There Is A Beautiful Spacious Guest Cottage (1 Bedroom, Bath, Living Room, Eat-In Kitchen) At The Back Of The Flat Property.","FOR_SALE","40.871204",,"-73.3851","https://photos.zillowstatic.com/fp/0d7a7271a47fd9c8b63a4bba3bfd7320-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"835000","https://www.zillow.com/homedetails/104-Greenlawn-Rd-Huntington-NY-11743/59566381_zpid/","1946"
